[ 2025-02-02 01:32:42,855 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-02-02 01:32:43,198 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-02-02 01:32:43,572 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-02-02 01:32:43,576 ] 107 dagshub - INFO - Accessing as ravikiran058
[ 2025-02-02 01:32:43,984 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/ravikiran058/networksecurity "HTTP/1.1 200 OK"
[ 2025-02-02 01:32:44,319 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-02-02 01:32:44,325 ] 107 dagshub - INFO - Initialized MLflow to track repo "ravikiran058/networksecurity"
[ 2025-02-02 01:32:44,328 ] 107 dagshub - INFO - Repository ravikiran058/networksecurity initialized!
[ 2025-02-02 01:32:44,329 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-02 01:32:45,657 ] 71 root - INFO - Performed train test split on the dataframe
[ 2025-02-02 01:32:45,657 ] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-02 01:32:45,658 ] 81 root - INFO - Exporting train and test file path.
[ 2025-02-02 01:32:45,722 ] 90 root - INFO - Exported train and test file path.
[ 2025-02-02 01:32:45,723 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-02 01:32:45,739 ] 25 root - INFO - Initiate the data Validation
[ 2025-02-02 01:32:45,789 ] 32 root - INFO - Required number of columns:2
[ 2025-02-02 01:32:45,789 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-02 01:32:45,789 ] 32 root - INFO - Required number of columns:2
[ 2025-02-02 01:32:45,789 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-02 01:32:45,945 ] 27 root - INFO - data Validation Completed
[ 2025-02-02 01:32:45,945 ] 30 root - INFO - data Transformation started 
[ 2025-02-02 01:32:45,945 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-02 01:32:45,946 ] 65 root - INFO - Starting data transformation
[ 2025-02-02 01:32:45,973 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-02 01:32:45,974 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-02 01:32:45,992 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-02 01:32:45,997 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-02 01:32:45,997 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-02 01:32:45,999 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-02 01:32:46,001 ] 34 root - INFO - data Transformation completed
[ 2025-02-02 01:32:46,001 ] 36 root - INFO - Model Training sstared
[ 2025-02-02 01:37:15,135 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-02 01:37:15,137 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-02 01:37:15,138 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-02 01:37:15,140 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-02 01:37:15,140 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_02_2025_01_32_17\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911916573858459, precision_score=0.9892886014551334, recall_score=0.9931020490971799), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9728854714690409, precision_score=0.9670152855993563, recall_score=0.9788273615635179))
[ 2025-02-02 01:37:15,145 ] 41 root - INFO - Model Training artifact created
