[ 2025-02-01 01:55:22,779 ] 15 root - INFO - Initiate the data ingestion
[ 2025-02-01 01:55:24,112 ] 71 root - INFO - Performed train test split on the dataframe
[ 2025-02-01 01:55:24,112 ] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-01 01:55:24,112 ] 81 root - INFO - Exporting train and test file path.
[ 2025-02-01 01:55:24,164 ] 90 root - INFO - Exported train and test file path.
[ 2025-02-01 01:55:24,175 ] 17 root - INFO - Data Initiation Completed
[ 2025-02-01 01:55:24,177 ] 21 root - INFO - Initiate the data Validation
[ 2025-02-01 01:55:24,241 ] 32 root - INFO - Required number of columns:2
[ 2025-02-01 01:55:24,242 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-01 01:55:24,242 ] 32 root - INFO - Required number of columns:2
[ 2025-02-01 01:55:24,242 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-01 01:55:24,436 ] 23 root - INFO - data Validation Completed
